country,date,sector,value,timestamp
"Brazil","01/01/2019","Power","0.096799","1546300800"
"China","01/01/2019","Power","14.8161","1546300800"
"EU27 & UK","01/01/2019","Power","1.88649","1546300800"
"France","01/01/2019","Power","0.051217","1546300800"
"Germany","01/01/2019","Power","0.315002","1546300800"
"India","01/01/2019","Power","3.34922","1546300800"
"Italy","01/01/2019","Power","0.168149","1546300800"
"Japan","01/01/2019","Power","1.2958","1546300800"
"ROW","01/01/2019","Power","8.57127","1546300800"
"Russia","01/01/2019","Power","2.84668","1546300800"
"Spain","01/01/2019","Power","0.130501","1546300800"
"UK","01/01/2019","Power","0.186637","1546300800"
"US","01/01/2019","Power","3.97085","1546300800"
"WORLD","01/01/2019","Power","36.8332","1546300800"
"Brazil","02/01/2019","Power","0.116758","1546387200"
"China","02/01/2019","Power","14.5771","1546387200"
"EU27 & UK","02/01/2019","Power","2.83332","1546387200"
"France","02/01/2019","Power","0.105528","1546387200"
"Germany","02/01/2019","Power","0.561079","1546387200"
"India","02/01/2019","Power","3.3902","1546387200"
"Italy","02/01/2019","Power","0.23834","1546387200"
"Japan","02/01/2019","Power","1.27251","1546387200"
"ROW","02/01/2019","Power","9.32496","1546387200"
"Russia","02/01/2019","Power","2.97014","1546387200"
"Spain","02/01/2019","Power","0.152677","1546387200"
"UK","02/01/2019","Power","0.365835","1546387200"
"US","02/01/2019","Power","4.62753","1546387200"
"WORLD","02/01/2019","Power","39.1125","1546387200"
"Brazil","03/01/2019","Power","0.113519","1546473600"
"China","03/01/2019","Power","14.132","1546473600"
"EU27 & UK","03/01/2019","Power","3.56955","1546473600"
"France","03/01/2019","Power","0.12109","1546473600"
"Germany","03/01/2019","Power","0.982588","1546473600"
"India","03/01/2019","Power","3.42797","1546473600"
"Italy","03/01/2019","Power","0.255168","1546473600"
"Japan","03/01/2019","Power","1.32794","1546473600"
"ROW","03/01/2019","Power","9.6919","1546473600"
"Russia","03/01/2019","Power","3.07002","1546473600"
"Spain","03/01/2019","Power","0.188904","1546473600"
"UK","03/01/2019","Power","0.4295","1546473600"
"US","03/01/2019","Power","4.45385","1546473600"
"WORLD","03/01/2019","Power","39.7868","1546473600"
"Brazil","04/01/2019","Power","0.102161","1546560000"
"China","04/01/2019","Power","14.6018","1546560000"
